YT動画名,曲名,アーティスト,YT投稿日,YT再生数,Spotify URL
【imase】NIGHT DANCER（MV）,NIGHT DANCER,imase,2022-08-30,255661261,https://open.spotify.com/track/3gmn76fCtpDazGMnN0QMHX
BLACKPINK - ‘Pink Venom’ DANCE PRACTICE VIDEO,Pink Venom,BLACKPINK,2022-08-24,271150657,https://open.spotify.com/track/5P3o95Jf0YBQRQ4j2XPpfC
IVE 아이브 'After LIKE' MV,After LIKE,IVE,2022-08-22,306008799,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG
【鈴木愛理がAdo「新時代」を熱唱‼】「ONE PIECE FILM RED」主題歌をカバー!!【アニソン神曲カバーでしょdeショー‼】,新時代,Ado,2022-08-20,10718869,https://open.spotify.com/track/28MATCYDctW5EiBa2repxb
BLACKPINK - ‘Pink Venom’ M/V,Pink Venom,BLACKPINK,2022-08-19,933448506,https://open.spotify.com/track/5P3o95Jf0YBQRQ4j2XPpfC
優里 - レオ / THE FIRST TAKE,梅田ナイトフィーバー19' - From THE FIRST TAKE,梅田サイファー,2022-08-19,18195003,https://open.spotify.com/track/5g9ie4IcY8P7M00VcWRq9C
【Ado】ウタカタララバイ（ウタ from ONE PIECE FILM RED）,ウタカタララバイ（ウタ from ONE PIECE FILM RED / オルゴールver.),Relaxing Orgel,2022-08-06,109299842,https://open.spotify.com/track/3jVXJXwbIj07xhJoUCfTqb
Snow Man ｢JUICY｣ Music Video YouTube Ver.,Icy,Gucci Mane,2022-08-04,74077967,https://open.spotify.com/track/48E4gICh8Tuksu0FP8e4C6
Kep1er 케플러 l 'Wing Wing' M/V,Wing Wing,Kep1er,2022-08-02,22135358,https://open.spotify.com/track/7dCnygmMEnbz5dp4rXQnwU
because i liked a boy,because i liked a boy,Sabrina Carpenter,2022-07-14,20685186,https://open.spotify.com/track/32FhTAAjKZaBein150o3Px
TWICE 「Celebrate」 Music Video,Celebrate,TWICE,2022-07-14,81426039,https://open.spotify.com/track/5ZwlnR8yGofZ0669mEh8Xm
Kis-My-Ft2 /「Two as One」Music Video,Two,YRD Leo,2022-07-13,10611077,https://open.spotify.com/track/5ZBmTf2Hd3fCzhxQKaTa51
NiziU(니쥬) 3rd Single「CLAP CLAP」M/V,CLAP CLAP,NiziU,2022-07-12,28898079,https://open.spotify.com/track/1ef8lJGk8NutRbV1BK9o3S
Nissy(⻄島隆弘) / 「I Need You」Music Video,I Need You,Nissy,2022-07-07,23251335,https://open.spotify.com/track/2v2qIytmsl65eCtBLbNagY
ヨルシカ - ブレーメン（OFFICIAL VIDEO）,ブレーメン,ヨルシカ,2022-07-04,14883476,https://open.spotify.com/track/1ylSVi90GEMU9VnRathz86
XG - MASCARA (Official Music Video),MASCARA,King Gnu,2022-06-29,58749135,https://open.spotify.com/track/25uU7huzrh4M91FXJvHWhY
King & Prince「ichiban」Special Dance Clip YouTube Edit,ichiban,King & Prince,2022-06-28,57038932,https://open.spotify.com/track/4XOWZurQYPvFQAaPkGmY90
Mrs. GREEN APPLE「ダンスホール」Official Music Video,ダンスホール,Mrs. GREEN APPLE,2022-06-28,124824709,https://open.spotify.com/track/1jsCice2Rjhwjyj98T2LIF
QUEENDOM / チキチキバンバン（TVアニメ「パリピ孔明」スペシャルMV）,チキチキバンバン,QUEENDOM,2022-06-25,19917125,https://open.spotify.com/track/7xm0KJMfeaJQmQdDxAipiY
【公式】 バグ／かいりきベア feat.初音ミク,バグ,Kairikibear,2022-06-25,23241067,https://open.spotify.com/track/73Ua9z2DSgEoOWAKiClnhn
【Ado】私は最強 (ウタ from ONE PIECE FILM RED),私は最強,Ado,2022-06-22,98728160,https://open.spotify.com/track/5YQNjKZofFhlBCIzTVY6rW
Snow Man 「オレンジkiss」Dance Practice,オレンジ,SPYAIR,2022-06-22,76047897,https://open.spotify.com/track/6M6ZNRplLNspFEn6Ab3mOv
Snow Man 「オレンジkiss」/ Orange kiss MV YouTube Ver.,オレンジ,SPYAIR,2022-06-15,26661782,https://open.spotify.com/track/6M6ZNRplLNspFEn6Ab3mOv
【Ado】新時代 (ウタ from ONE PIECE FILM RED),新時代,Ado,2022-06-15,175784437,https://open.spotify.com/track/28MATCYDctW5EiBa2repxb
nobodyknows+ - ココロオドル / THE FIRST TAKE,ココロオドル -original version-,nobodyknows+,2022-06-10,62863596,https://open.spotify.com/track/5tcnPaFhcpSLx7ihFwI9DM
King & Prince「ichiban」MV YouTube Edit,ichiban,King & Prince,2022-06-05,61604964,https://open.spotify.com/track/4XOWZurQYPvFQAaPkGmY90
ピノキオピー - 転生林檎 feat. 初音ミク / Reincarnation Apple,転生林檎,PinocchioP,2022-06-03,46522528,https://open.spotify.com/track/5RTY1HOU6AHdizjqADvq7Z
I Like You (A Happier Song),I Like You (A Happier Song) (with Doja Cat),Post Malone,2022-06-02,112584127,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
【MV】アイドルライフスターターパック/iLiFE! 【コール動画】,アイドルライフスターターパック,iLiFE!,2022-06-01,10376977,https://open.spotify.com/track/693R7lfjVbkJXStnBTS2o5
幾田りら - レンズ / THE FIRST TAKE,レンズ,Lilas,2022-06-01,10622003,https://open.spotify.com/track/6RiJ001BNFvjcOvt8r6VNG
Dance Hall,Dance Hall,Ashley Henry,2022-05-23,49521463,https://open.spotify.com/track/1T4Ti16ZBdyOFUpPYFUVEe
CHEHON - 韻波句徒 / THE FIRST TAKE,韻波句徒 - From THE FIRST TAKE,CHEHON,2022-05-13,38814745,https://open.spotify.com/track/3cqmXMlBVdyapdwYXK3XhJ
米津玄師  - M八七 　Kenshi Yonezu - M87,M八七,Kenshi Yonezu,2022-05-12,61326473,https://open.spotify.com/track/4616jKiFtLfIRQ0SfEM6XL
星野源 – 喜劇 (Official Video),喜劇,w.o.d.,2022-05-05,31087196,https://open.spotify.com/track/65qqWBdUrc8JKFDvAfazlr
ちゃんみな - ハレンチ / THE FIRST TAKE,ハレンチ - From THE FIRST TAKE,CHANMINA,2022-05-04,10848845,https://open.spotify.com/track/0puRn6e8uFDZ0zQ6MsEKcD
Hey! Say! JUMP - 恋をするんだ [Official Music Video with sound effects],UMP,Hey! Say! JUMP,2022-05-03,16261844,https://open.spotify.com/track/1BuTfB9YcV2nlO8TdCRRCm
LE SSERAFIM FEARLESS OFFICIAL M/V,FEARLESS,LE SSERAFIM,2022-05-02,195049892,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj
PSY - 'That That (prod. & feat. SUGA of BTS)' MV,That That (prod.&feat. SUGA of BTS),PSY,2022-04-29,578205921,https://open.spotify.com/track/7GNRUsU3M4XNDDB9xle5Dz
SEKAI NO OWARI「Habit」,Habit,SEKAI NO OWARI,2022-04-28,221229753,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE
絶対敵対メチャキライヤー - ミクと可不,絶対敵対メチャキライヤー,メドミア,2022-04-23,20192112,https://open.spotify.com/track/4mjaq4mfQFlciPMgXBqCBE
ちゃんみな - 美人 / THE FIRST TAKE,美人 - From THE FIRST TAKE,CHANMINA,2022-04-22,25835539,https://open.spotify.com/track/3eRc3AWjXOqcNujw8U01ep
Novelbright - 愛とか恋とか [Official Music Video],愛とか恋とか,Novelbright,2022-04-22,56765011,https://open.spotify.com/track/1VHL1PIkhDwWbFc65xHwOr
Billie Eilish - Happier Than Ever (64th GRAMMY Awards Performance),Happier Than Ever,Billie Eilish,2022-04-19,34837796,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
ボカロPと絵師が25人集まってダンスロボットダンスMVアレンジメドレーしてみた,ダンスロボットダンス,P丸様｡,2022-04-17,12901140,https://open.spotify.com/track/0WJFRcKa3tK2ue1D0cvbgL
【MV】鈴木雅之 feat. すぅ『GIRI GIRI』TVアニメ「かぐや様は告らせたい-ウルトラロマンティック-」OP主題歌,Giri Giri,KOMOREBI,2022-04-14,14815647,https://open.spotify.com/track/2D5TDcdWIZLMKZ5xPYXRwq
Official髭男dism - Mixed Nuts ［Official Video］,ミックスナッツBy Official髭男dism,OFFICIAL HIGE DANDISM,2022-04-14,131876022,https://open.spotify.com/track/7lyF2KpEAtjcnlmcigvkru
Maria Clara y JP aprenden formas geométricas con los juguetes Pop It,Maria Clara e Jp,Maria Clara e JP,2022-04-09,34876605,https://open.spotify.com/track/26RKC2Wl76VuDwxANX05bu
ずっと真夜中でいいのに。『ミラーチューン』MV (ZUTOMAYO - MIRROR TUNE),ミラーチューン,ZUTOMAYO,2022-04-07,19404312,https://open.spotify.com/track/6KB2OPefadupVDnVNYq23A
Imagine Dragons - Bones (Official Music Video),Bones,Imagine Dragons,2022-04-06,356538432,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
Where Is The Love?,Where Is The Love?,Black Eyed Peas,2022-03-31,72450664,https://open.spotify.com/track/0xmjwnQ3FNE6HuWCt2nHdZ
Snow Man「イチバンボシ」Rec Video,イチバンボシ - Cover - Snow Man,Mobile Melody Series,2022-03-23,27544401,https://open.spotify.com/track/7gZLtMizaI7fCsdVthdTN3
Save Your Tears ((Remix) Bonus Track),Save You,YUTA,2022-03-21,178154826,https://open.spotify.com/track/4QIzoj5USoCgN1d2l3Pbgd
Fujii Kaze -  Matsuri（Official Video）,"まつり - Fujii Kaze Stadium Live ""Feelin' Good""",Fujii Kaze,2022-03-20,91715093,https://open.spotify.com/track/3iniALKc7KADApGJy4YWv8
Mrs. GREEN APPLE「ニュー・マイ・ノーマル」Official Music Video,ニュー・マイ・ノーマル,Mrs. GREEN APPLE,2022-03-18,24402124,https://open.spotify.com/track/3dHxrn3dLyhOHGp16nUFWM
King Gnu - カメレオン,カメレオン,King Gnu,2022-03-14,67914268,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS
恋風邪にのせて / Vaundy：MUSIC VIDEO,恋風邪にのせて,Vaundy,2022-03-12,26394930,https://open.spotify.com/track/1IFyAcFGKEoAcdFa8WwLk0
RADWIMPS - うるうびと [Official Music Video],うるうびと,RADWIMPS,2022-03-12,15993234,https://open.spotify.com/track/6mJIn3fvwWHHAnrR3LEdxp
BE:FIRST / Bye-Good-Bye -Music Video-,Bye-Good-Bye - From THE FIRST TAKE,BE:FIRST,2022-03-07,39916725,https://open.spotify.com/track/6mcBjdVT0Ruf1sp2pwmQ0P
SixTONES - Gum Tape [PLAYLIST -SixTONES YouTube Limited Performance- Day.5],Gum i,luv,2022-03-04,13330076,https://open.spotify.com/track/2egaM78FRM3obOCvcljpzC
Yumecchi - 増していくプレッシャー (From『ミラベルと魔法だらけの家』),レムの魔法,傘村トータ,2022-03-03,19640024,https://open.spotify.com/track/3tv5tzBvJIvmIX9gOeGQoO
秘密のブルーノ (From『ミラベルと魔法だらけの家』),秘密の,Aki,2022-03-03,25320325,https://open.spotify.com/track/21HHx5khXbKGckVI2gEH6h
"Aya Hirano, Ruki Saito - 本当のわたし (From『ミラベルと魔法だらけの家』)",本当のわたし,Masahiro Tokuda,2022-03-03,10802867,https://open.spotify.com/track/6i177IlIrUjYE5GLZdGHiy
"Ruki Saito, Mie Nakao, Encanto - Cast - ふしぎなマドリガル家 (From『ミラベルと魔法だらけの家』)",Waiting On A Miracle,Ruki Saito,2022-03-03,15365055,https://open.spotify.com/track/7ubnxt2Uz6bjgokIMinvkA
Snow Man「ブラザービート」Music Video,Icy,Gucci Mane,2022-03-02,105430591,https://open.spotify.com/track/03kHwM7Pw1enUD2r2FuOYP
"ヒグチアイ / 悪魔の子【Official Video】｜Ai Higuchi""Akuma no Ko”Attack on Titan The Final Season Part 2 ED theme",悪魔の子,Ai Higuchi,2022-03-02,13059931,https://open.spotify.com/track/0JsxTs1lZfKkDWxLZdJOmv
TWICE「SCIENTIST -Japanese ver.-」Music Video,SCIENTIST,TWICE,2022-03-01,11906460,https://open.spotify.com/track/2J0TRU2EDG29qlmxdGa4xa
Sonne,Sonne,Rammstein,2022-03-01,102445804,https://open.spotify.com/track/3gVhsZtseYtY1fMuyYq06F
Deutschland,Deutschland,Rammstein,2022-03-01,83920765,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
ピノキオピー - 魔法少女とチョコレゐト feat. 初音ミク / Magical Girl and Chocolate,魔法少女とチョコレゐト,PinocchioP,2022-02-25,33053141,https://open.spotify.com/track/34Z7IwYcsG94pPkJimpAbe
"NMIXX ""O.O"" M/V",O.O,NMIXX,2022-02-22,115522673,https://open.spotify.com/track/1m2PksrrMpIev63uPxT1V0
Aimer - 残響散歌 / THE FIRST TAKE,FIRST TAKE,SHIGECHIYO,2022-02-09,50118460,https://open.spotify.com/track/7d8AY0XQZdthIA0YlUhPIQ
DECO*27 - パラサイト feat. 初音ミク,パラサイト,DECO*27,2022-02-07,17241851,https://open.spotify.com/track/3nMZzgFVIIn9gH6BELlnO6
Aimer - カタオモイ / THE FIRST TAKE,カタオモイ - From THE FIRST TAKE,Aimer,2022-01-28,42788950,https://open.spotify.com/track/3u5nJX5PF2qXQe2vyolnme
ヒグチアイ / 悪魔の子 (アニメスペシャルVer.) | Ai Higuchi “Akuma no Ko” Anime Special Ver.,悪魔の子,Ai Higuchi,2022-01-23,154184222,https://open.spotify.com/track/0JsxTs1lZfKkDWxLZdJOmv
羊文学 - 光るとき (Official Music Video) 【テレビアニメ「平家物語」OPテーマ】,光るとき,Hitsujibungaku,2022-01-11,13091758,https://open.spotify.com/track/7Aflm6F9jMApKat1tjvhxT
Aimer「朝が来る」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編エンディングテーマ）,朝が来る,Aimer,2022-01-09,20665574,https://open.spotify.com/track/6Mq4q5OIMO25vBsKpFdlnH
DECO*27 - サラマンダー feat. 初音ミク,サラマンダー,DECO*27,2022-01-07,20063333,https://open.spotify.com/track/3Ep4hBCxB6437tYco5dSo7
Christmas Tree,Christmas Tree (V Violin Duet),OMJamie,2021-12-24,43576754,https://open.spotify.com/track/1wAI8YAcVA8fgSGX7IL1nd
[M/V] V - Christmas Tree :: 그 해 우리는(Our Beloved Summer) OST Part.5,O Christmas Tree,JEONGYEON,2021-12-24,88140923,https://open.spotify.com/track/1v8Xu8E1PqevGe9rAh6srZ
ちゃんみな - ハレンチ (Dance Performance Video) -,ハレンチ,CHANMINA,2021-12-23,11632171,https://open.spotify.com/track/2BfzhBl79bcPOHHXAXJkTY
ロクデナシ「ただ声一つ」/ Rokudenashi - One Voice【Official Music Video】,One,Snow Man,2021-12-21,157811549,https://open.spotify.com/track/4oaQZLunFjVPbN830b0yfg
One Voice,One Voice,WONK,2021-12-21,44392103,https://open.spotify.com/track/5edJUrYBUDLUNVXrta9fnS
[STATION] aespa 에스파 'Dreams Come True' MV,Dreams Come True,aespa,2021-12-20,117649243,https://open.spotify.com/track/6rVCUwfnuYTAsX4P9fIdIu
milet×Aimer×幾田りら - おもかげ (produced by Vaundy) / THE FIRST TAKE,恋だろ - From THE FIRST TAKE,wacci,2021-12-17,68635524,https://open.spotify.com/track/0jRHC3gJE9VSRtWii9nZYl
DECO*27 - アニマル feat. 初音ミク,アニマル,DECO*27,2021-12-16,21150820,https://open.spotify.com/track/1b0zIQJV4TMwPXudWcHjQv
January 28th,January 28th,J. Cole,2021-12-14,12962263,https://open.spotify.com/track/6LBpGdlukUARutol7VgWIS
No Role Modelz,No Role Modelz,J. Cole,2021-12-14,273246519,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
Aimer「残響散歌」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）,残響散歌「テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ」より(原曲:Aimer)[ORIGINAL COVER],サウンドワークス,2021-12-12,243762899,https://open.spotify.com/track/7H5y3anhNK1dLka6PTeUKo
King Gnu - 一途,一途,King Gnu,2021-12-10,120019804,https://open.spotify.com/track/7ncPjJBktLEOpstY5JOUMK
SUPER BEAVER feat. 長屋晴子 – 東京 / THE FIRST TAKE,東京 - From THE FIRST TAKE,SUPER BEAVER,2021-12-10,12819829,https://open.spotify.com/track/4w37NwAYL1PiVuBv2sVVjE
宇多田ヒカル『君に夢中』,君に夢中,Hikaru Utada,2021-12-08,43674093,https://open.spotify.com/track/0oxWaHk4e669g5VHbQCflA
「ツバメ」/ YOASOBI with ミドリーズ Official Music Video,ツバメ,ミドリーズ,2021-12-02,31526094,https://open.spotify.com/track/4EVYQg4UbL6kCw5sxK408C
神っぽいな / ラプラス・ダークネス Cover,神っぽいな,PinocchioP,2021-12-01,23591952,https://open.spotify.com/track/7tv5yc3kguEixLBPnUnxnM
【♪うたアニメ】やさいのうた〈うた：いっちー＆なる〉,やさいのうた,いっちー&なる(ボンボンアカデミー),2021-11-26,55683822,https://open.spotify.com/track/0CLB0GEhEeSk0uL3thPU3z
優里『ベテルギウス』Official Music Video,ベテルギウス,Akuya,2021-11-18,61490502,https://open.spotify.com/track/4bPG9OjMWlDFD7v6mXBbEz
中島美嘉 - 僕が死のうと思ったのは / THE FIRST TAKE,僕が死のうと思ったのは,Mika Nakashima,2021-11-17,15064369,https://open.spotify.com/track/2NOIV90vZjJEzbKiJyGZiS
【第75回NHK紅白歌合戦 歌唱曲】踊り子 / Vaundy：MUSIC VIDEO,踊り子,Vaundy,2021-11-16,112280668,https://open.spotify.com/track/1YXot2MLAG9sttepCtBRM7
Taylor Swift - All Too Well (10 Minute Version) (Live on Saturday Night Live),All Too Well,Taylor Swift,2021-11-14,27193085,https://open.spotify.com/track/6GNRkaWUB0Lwc19SdkTgx8
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021-11-12,46635997,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
TWICE “SCIENTIST” M/V,SCIENTIST,TWICE,2021-11-12,159335131,https://open.spotify.com/track/2J0TRU2EDG29qlmxdGa4xa
ぬゆり - ロウワー / Flower : Lower one's eyes,flowers,YUZU,2021-11-11,50920585,https://open.spotify.com/track/73DkWp9sZ4fAJh0nROgQ9n
竹内まりや -  Plastic Love (Official Music Video),Plastic Love,Friday Night Plans,2021-11-11,51532105,https://open.spotify.com/track/2qxTmEfGbBGMSJrwu4Ez1v
Enemy (From the series Arcane League of Legends),Enemy (from the series Arcane League of Legends),Imagine Dragons,2021-11-11,224005467,https://open.spotify.com/track/72GsidlGNq4DVig0RYzZ3q
ロウワー,ロウワー,ぬゆり,2021-11-09,11770367,https://open.spotify.com/track/3eIGW5DUVP5zkGFXZSZQ6o
LiSA 『明け星』 -MUSiC CLiP-（テレビアニメ「鬼滅の刃」無限列車編 オープニングテーマ）,明け星,LiSA,2021-11-07,36597039,https://open.spotify.com/track/3J34JtfZNylVXSKN4TDf12
中島美嘉 - 雪の華 / THE FIRST TAKE,雪の華 - From THE FIRST TAKE,Mika Nakashima,2021-11-05,14813668,https://open.spotify.com/track/5Fo2CcKssY4SKGWI04i8iV
マカロニえんぴつ「なんでもないよ、」MV,なんでもないよ、,Macaroni Empitsu,2021-11-02,52259255,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl
KUROMI「Greedy Greedy」MV -Short ver.-,Greedy Greedy - English ver.,KUROMI,2021-10-30,11353669,https://open.spotify.com/track/0azggS66exozKNhgOkTSbV
DISH// - 沈丁花 [Official Video],沈丁花,Director's cut,2021-10-29,42459481,https://open.spotify.com/track/3QqQFXQJUXvF5P8mYFlDW1
【Ado】阿修羅ちゃん,阿修羅ちゃん,Ado,2021-10-28,101866352,https://open.spotify.com/track/0cN6iBeCR7NgeBeTIKjLml
Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends),Enemy (from the series Arcane League of Legends),Imagine Dragons,2021-10-28,430393708,https://open.spotify.com/track/72GsidlGNq4DVig0RYzZ3q
"Mari Okonogi, Hiroshi Hatanaka - 輝く未来 (From『塔の上のラプンツェル』)",輝く未来（Orgel ver.）,α Healing,2021-10-28,19026245,https://open.spotify.com/track/1mgA0QnlJEgbdeh4hMb6qL
"Makoto Okada, Shinichi Ishihara - 誰にでも夢はある (From『塔の上のラプンツェル』)",誰にでも夢はある（『塔の上のラプンツェル』より）,サンジュアン・ミュージック・オールスターズ,2021-10-28,11455767,https://open.spotify.com/track/14kr8HFlMWvUUEui5sM137
Mari Okonogi - 自由への扉 (From『塔の上のラプンツェル』),自由への扉,Hitomi Yoshida,2021-10-28,29723431,https://open.spotify.com/track/4HWS1IyvXi2R5k5pxCfMOx
Cold Heart (PNAU Remix),Cold Heart (PNAU Remix),Elements of Pop,2021-10-21,189779656,https://open.spotify.com/track/3ygQEzPD2tNbqdvg6YbNPF
SPYAIR - サムライハート(Some Like It Hot!!) / THE FIRST TAKE,サムライハート(Some Like It Hot!!) - From THE FIRST TAKE,SPYAIR,2021-10-20,10799015,https://open.spotify.com/track/6b8ckY0AxgFj0a4hzBg6hS
Saucy Dog - いつか / THE FIRST TAKE,いつか,Saucy Dog,2021-10-15,21007405,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
LiSA 『往け』 -MUSiC CLiP- （『劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア』主題歌）,Lisa,ANARCHY,2021-10-14,15043330,https://open.spotify.com/track/43IUFImvOZCNnvwmjshcm0
優里 - ベテルギウス / THE FIRST TAKE,ベテルギウス,Yuuri,2021-10-13,73588721,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
Justin Bieber - Ghost,Ghost,Justin Bieber,2021-10-08,394149097,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
"TWICE ""The Feels"" M/V",The Feels,TWICE,2021-10-01,468772941,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
優里 - シャッター / THE FIRST TAKE,シャッター,Yuuri,2021-10-01,33052090,https://open.spotify.com/track/19mjCzLuMHZ0Tyn3eI85bo
Hilcrhyme - 「春夏秋冬」Music Video,春夏秋冬,ヒルクライム,2021-09-28,16452473,https://open.spotify.com/track/5lXJfdSxPIvKAO5s903Crr
back number - 黄色,黄色,back number,2021-09-26,27536056,https://open.spotify.com/track/2GTzQOq36HFMyYvmqqiHfh
ピノキオピー - 神っぽいな feat. 初音ミク / God-ish,神っぽいな,PinocchioP,2021-09-17,80065707,https://open.spotify.com/track/7tv5yc3kguEixLBPnUnxnM
エゴロック(long ver.) / すりぃ feat.鏡音レン,エゴロック,HIMEHINA,2021-09-07,49900318,https://open.spotify.com/track/3cJuvdo49hgk8N3WWv7beh
【ニノミヤユイ】「Dark seeks light」Music Video（Full Size ）※TVアニメ『世界最高の暗殺者、異世界貴族に転生する』オープニング主題歌,Dark seeks light,ニノミヤユイ,2021-09-06,10599399,https://open.spotify.com/track/4u393yBYSLezQjCIsd16h2
ポルノグラフィティ - サウダージ / THE FIRST TAKE,サウダージ - From THE FIRST TAKE,PornoGraffitti,2021-09-03,32374175,https://open.spotify.com/track/4aSctTKHJbcpeQVZYwxRW2
miki matsubara-stay With Me,真夜中のドア〜stay with me,Miki Matsubara,2021-09-01,22657277,https://open.spotify.com/track/5r7TNpLRQgSxe41xEaz3fF
YOASOBI「ラブレター」Official Music Video,ラブレター,AMUGIRI,2021-08-31,49383387,https://open.spotify.com/track/1FqsTYVYX5peidX4xlSzIH
きゅうくらりん / いよわ feat.可不（Kyu-kurarin / Iyowa feat.Kafu）,きゅうくらりん,いよわ,2021-08-29,73051934,https://open.spotify.com/track/56xCsaFsih5swf7IZXPYzU
Saucy Dog「シンデレラボーイ」Music Video ＜5th Mini Album「レイジーサンデー」2021.8.25 Release＞,シンデレラボーイ,Saucy Dog,2021-08-20,117382592,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V
snooze / wotaku feat. SHIKI,snooze,プッシュプルポット,2021-08-20,24771260,https://open.spotify.com/track/02UC0Nunn8OKuF16dZBrs8
"梅田サイファー - 梅田ナイトフィーバー’19 ,トラボルタカスタム ft. 鋼田テフロン / TFT FES vol.3 supported by Xperia & 1000X Series",梅田ナイトフィーバー’19,TAKE-M,2021-08-19,33740897,https://open.spotify.com/track/4hM6bGfXZ8kupyfdV63Ey5
"CHEMISTRY - PIECES OF A DREAM ,Point of No Return / TFT FES vol.3 supported by Xperia & 1000X Series",PIECES OF A DREAM,CHEMISTRY,2021-08-19,12855040,https://open.spotify.com/track/1YyJe7sJIrPb5pizGOBiB4
Official髭男dism - アポトーシス［Official Video］,アポトーシス,OFFICIAL HIGE DANDISM,2021-08-18,24870004,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2
ピノキオピー - ねぇねぇねぇ。 feat. 鏡音リン・初音ミク / Nee Nee Nee.,ねぇねぇねぇ,PinocchioP,2021-08-06,32505192,https://open.spotify.com/track/3gHgE02K4p2wHiUZ2RPWpS
【Official】Uru 『Love Song』  フジテレビ系 木曜劇場「推しの王子様」主題歌,Love Song,Uru,2021-08-05,21911141,https://open.spotify.com/track/2bVNCp7NZEO5wnRJnNKjff
Hey! Say! JUMP - 群青ランナウェイ [Official Music Video],群青ランナウェイ,Hey! Say! JUMP,2021-07-27,16430169,https://open.spotify.com/track/1uNvwkOKEKzqWdgkNx77cd
Good Gas & JP THE WAVY – Bushido (Official Music Video) [from F9 – The Fast Saga],Fast,Sugar Goose,2021-07-23,16074589,https://open.spotify.com/track/2DEKS7tp3uIkyWqEBLBPjP
生きる  feat. 可不 - 水野あつ,生きる,水野あふ,2021-07-22,25216808,https://open.spotify.com/track/4B6rDxockZoeeIw8Vx02T6
Imagine Dragons - Wrecked (Official Music Video),Wrecked,Imagine Dragons,2021-07-15,182010246,https://open.spotify.com/track/4YcxsuF1GDPAjtuLTqGlV6
milet「Ordinary days」Music Video(日本テレビ系水曜ドラマ「ハコヅメ～たたかう！交番女子～」主題歌),Ordinary days,milet,2021-07-14,21064425,https://open.spotify.com/track/6D5E8pz4YKYrjY9BqROTox
ZONE「secret base ～君がくれたもの～」MUSIC VIDEO,secret base ～君がくれたもの～,ZONE,2021-07-12,34801589,https://open.spotify.com/track/1k42CHnoxIlqAJ81VE65Uc
Whiteberry「夏祭り」MUSIC VIDEO,夏祭り,Whiteberry,2021-07-12,14100047,https://open.spotify.com/track/6rDJe5gVgAunlkaSY1vnAF
BTS (방탄소년단) 'Permission to Dance' Official MV,Permission to Dance,BTS,2021-07-09,666512852,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
MARIA CLARA E JP QUEREM O MESMO POP IT - POP IT CHALLENGE,MARIA,Johya,2021-07-07,48618169,https://open.spotify.com/track/6F7sUf6f3DHuHuqNWUku4w
fhána - 愛のシュプリーム！(TVアニメ『小林さんちのメイドラゴンS』OP主題歌) - Official Music Video,愛のシュプリーム！,fhána,2021-07-07,20170102,https://open.spotify.com/track/3xQtNThDWOVfMUZA62IPHE
"MindaRyn - Like Flames (""That Time I Got Reincarnated as a Slime"" Opening Theme Song) | Music Video",Like Flames,MindaRyn,2021-07-06,21121627,https://open.spotify.com/track/4reAFBOJ56ZdM1g0oub5C8
銀河鉄道999,銀河鉄道999,Godiego,2021-07-06,29505270,https://open.spotify.com/track/2eTFeq3uicvq8wzG00JMQx
花占い / Vaundy：MUSIC VIDEO,花占い,Vaundy,2021-07-04,41845158,https://open.spotify.com/track/4ETc1oFREuqQss7VQ1Y4mj
[Official MV] 青空のラプソディ（スーパーちょろゴンず ver.）-9.22 Release-,青空,北谷 琉喜,2021-06-30,11901931,https://open.spotify.com/track/3hdpvi43PZWDBvpS6v3HiW
好きだから。/ 『ユイカ』【MV】,好きだから。,『ユイカ』,2021-06-27,92709628,https://open.spotify.com/track/6qsA8RM0xq9GnlFHTVkwrm
Sukidakara,Sukidakara,UMI,2021-06-26,36348869,https://open.spotify.com/track/6Mvcq6hzXQvDyruJZYdDJm
