Title,Artist,Year_Date
FLY UP SO HIGH,PRODUCE 101 JAPAN THE GIRLS,202401
Heart Diamond,SUPER☆GiRLS,202401
Sleep Walking Orchestra,BUMP OF CHICKEN,202401
Closer Than This,JIMIN,202401
CHOPPY CHOPPY,PRODUCE 101 JAPAN THE GIRLS,202401
想望,福山雅治,202401
SOULSOUP,Official髭男dism,202401
想像以上,PRODUCE 101 JAPAN THE GIRLS,202401
バケツを被れ!,HKT48,202401
Monopoly,乃木坂46,202312
Perfect Night,LE SSERAFIM,202312
Standing Next to You,Jung Kook,202312
LALALALA,Stray Kids,202312
Diamonds,GENERATIONS from EXILE TRIBE,202312
I Wish,なにわ男子,202312
Sweet Venom,ENHYPEN,202312
HEARTRIS,NiziU,202312
ギフテッド,NEWS,202312
あのね,あいみょん,202312
Grand Prix,Kep1er,202312
花になって,緑黄色社会,202312
ドレスコード,LE SSERAFIM,202312
乱心-RANSHIN-,Hiromitsu Kitayama,202312
Biri-Biri,YOASOBI,202312
Glorious,BE:FIRST,202312
Drama,aespa,202312
星の降る日に,aiko,202312
unravel,Ado,202312
UP TO ME!,Little Glee Monster,202312
hands,野田愛実,202311
勇者,YOASOBI,202311
花,藤井風,202311
片隅,THE RAMPAGE from EXILE TRIBE,202311
つまり、ぞっこんLOVE,CUBERS,202311
ラストノートしか知らない,=LOVE,202311
God of Music,SEVENTEEN,202311
DEAR MY LOVER,Hey!Say!JUMP,202311
アイドルなんかじゃなかったら,AKB48,202311
3D (feat. Jack Harlow),Jung Kook,202311
Baddie,IVE,202311
粛聖!! ロリ神レクイエム☆,しぐれうい,202311
ノット・オーケー,あいみょん,202311
クラクラ,Ado,202311
トドメの一撃 (feat. Cory Wong),Vaundy,202311
絶体絶命,WEST.,202311
ラブソング,マルシィ,202311
Lesson II,超特急,202311
Carnival,MAZZEL,202311
You & Me,JENNIE,202311
承認欲求,櫻坂46,202311
すっごいFEVER!,モーニング娘。'23,202311
晩餐歌,tuki.,202311
ANTENNA,Mrs.GREEN APPLE,202310
ケモノミチ,Mr.Children,202310
Venus,JO1,202310
Mainstream,BE:FIRST,202310
IMP.,IMP.,202310
SPECIALZ,King Gnu,202310
more than words,羊文学,202310
マジックアワー,緑黄色社会,202310
NANAKORO!,BMK,202310
日常,Official髭男dism,202310
唱,Ado,202310
本音と建前,Sexy Zone,202310
硝子窓,King Gnu,202310
最高到達点,SEKAI NO OWARI,202310
Dangerholic,Snow Man,202310
DIGNITY,Ado,202310
Slow Dancing,V,202310
Relay〜杜の詩,サザンオールスターズ,202310
Make Up Day,なにわ男子,202310
Koi to me,BUDDiiS,202310
"UNFORGIVEN (feat. Nile Rodgers, Ado) -Japanese ver.-",LE SSERAFIM,202309
Workin' Hard,藤井風,202309
Chessboard,Official髭男dism,202309
NEW DANCE,XG,202309
命日,ちゃんみな,202309
Sweet Rain,WOLF HOWL HARMONY,202309
ランデヴー,シャイトープ,202309
紡ぐ,とた,202309
CRUISIN',IMP.,202309
DA BOMB,Snow Man,202309
Sara Sara,SEVENTEEN,202309
Can I,JUNHO(From 2PM),202309
悲しみはバスに乗って,マカロニえんぴつ,202309
ROBO,SEKAI NO OWARI,202309
Summer Riot 〜熱帯夜〜,THE RAMPAGE from EXILE TRIBE,202309
Jettin',THE JET BOY BANGERZ,202309
今 -明日 世界が終わっても-,SEVENTEEN,202309
Wheelie,KID PHENOMENON,202309
EVOL,ONE N' ONLY,202309
Tell Me,FANTASTICS from EXILE TRIBE,202309
おひとりさま天国,乃木坂46,202309
生命体,星野源,202309
今この瞬間を,Little Glee Monster,202309
Make It Out Alive,ONE OK ROCK,202309
怪獣のサイズ,back number,202309
ぎゅっとして、,YUTORI-SEDAI,202308
青のすみか,キタニタツヤ,202308
盆ギリ恋歌,サザンオールスターズ,202308
New Jeans,NewJeans,202308
My Story,INI,202308
ETA,NewJeans,202308
月を見ていた,米津玄師,202308
地球儀,米津玄師,202308
COCONUT,NiziU,202308
Seven (feat. Latto),Jung Kook,202308
向日葵,Ado,202308
好きになっちゃった,SKE48,202308
Sync Of Summer,山下達郎,202308
Do not touch,MISAMO,202308
Am I ready?,日向坂46,202308
サマータイムシンデレラ,緑黄色社会,202308
Everest,THE RAMPAGE from EXILE TRIBE,202308
ちょっと情緒不安定?…夏,OCHA NORMA,202308
Gold 〜また逢う日まで〜,宇多田ヒカル,202308
燈,崎山蒼志,202308
NEWSmile,JO1,202308
Higher,LIL LEAGUE from EXILE TRIBE,202308
"Bad Bitch 美学 Remix (feat. NENE, LANA, MaRI, AI & YURIYAN RETRIEVER)",Awich,202308
Start over!,櫻坂46,202307
Smile Again - From THE FIRST TAKE,BE:FIRST,202307
貴方の恋人になりたい,チョーキューメイ,202307
竈門禰豆子のうた,椎名豪 featuring 中川奈美,202307
Magic,Mrs.GREEN APPLE,202307
ガーデン,藤井風,202307
ナツマトペ,=LOVE,202307
Broken Melodies,NCT DREAM,202307
REALiZE,LiSA,202307
Foxy Grape,原因は自分にある。,202307
なにもの,King & Prince,202307
Take Two,BTS,202307
S-Class,Stray Kids,202307
儚くない,SUPER BEAVER,202307
Marshmallow,MISAMO,202307
ファジーネーブル,Conton Candy,202307
こっから,SixTONES,202307
青い春と西の空,結束バンド,202306
ケセラセラ,Mrs.GREEN APPLE,202306
メフィスト,女王蜂,202306
Super,SEVENTEEN,202306
私は猫の目,椎名林檎,202306
光の中へ,結束バンド,202306
"Eve, Psyche & The Bluebeard's wife",LE SSERAFIM,202306
ときめきpart1,スピッツ,202306
Symphony,平井大,202306
どうしても君が好きだ,AKB48,202306
いばら,Ado,202306
Call My Name,超特急,202306
Smile Again,BE:FIRST,202306
Vivid,MAZZEL,202306
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,202306
topaz,M!LK,202306
Hare Hare,TWICE,202306
ターコイズ,SEKAI NO OWARI,202306
Bite Me,ENHYPEN,202306
斜陽,ヨルシカ,202306
Moving Pieces,Travis Japan,202306
僕は今夜、出て行く,22/7,202306
FANFARE,INI,202306
Queencard,(G)I-DLE,202306
心得,Uru,202306
Magic,BUDDiiS,202306
One choice,日向坂46,202305
コイコガレ,milet×MAN WITH A MISSION,202305
TATTOO,Official髭男dism,202305
愛の花,あいみょん,202305
I'm a mess,MY FIRST STORY,202305
W●RK,millennium parade × 椎名林檎,202305
美しい鰭,スピッツ,202305
セブンティーン,YOASOBI,202305
PANORAMA JET,FANTASTICS from EXILE TRIBE,202305
Kitsch,IVE,202305
ダンデライオン,Da-iCE,202305
天使は何処へ,≠ME,202305
16BOOSTERZ,THE RAMPAGE from EXILE TRIBE,202305
サラバ,SEKAI NO OWARI,202305
I AM,IVE,202305
アイドル,YOASOBI,202305
フライデー・ナイト,なとり,202305
ABARERO,SixTONES,202305
FLOWER,JISOO,202305
BAKU BAKU,PSYCHIC FEVER from EXILE TRIBE,202305
絆ノ奇跡,MAN WITH A MISSION×milet,202305
グラデーション,SUPER BEAVER,202305
Haegeum,Agust D,202305
slash,yama,202305
I'M A RAT,Hi-STANDARD,202305
ぼくらの,Eve,202304
人は夢を二度見る,乃木坂46,202304
SET ME FREE,TWICE,202304
ウオー!サオー!,世が世なら!!!,202304
Set Me Free Pt.2,JIMIN,202304
Limitless,ATEEZ,202304
そんなbitterな話,Vaundy,202304
オトナブルー,新しい学校のリーダーズ,202304
青い春のエチュード feat.長屋晴子(緑黄色社会),東京スカパラダイスオーケストラ,202304
Paradise,NiziU,202304
Like Crazy,JIMIN,202304
LADY,米津玄師,202304
サクラフレフレ,THE SUPER FRUIT,202304
Bye-Bye Show,BiSH,202304
名前は片想い,indigo la End,202304
STARS,三代目 J SOUL BROTHERS from EXILE TRIBE,202304
Tiger,JO1,202304
恋人じゃなくなった日,優里,202303
Friday Night,tonun,202303
すまん、犬。,わーすた,202303
星月夜,由薫,202303
Boom Boom Back,BE:FIRST,202303
TURN IT UP (feat. Candee & ZOT on the WAVE),LANA,202303
君はもっとできる,HKT48,202303
rose feat. Vaundy,Chilli Beans.,202303
間違いじゃない 泣いたりしない,つばきファクトリー,202303
アルジャーノン,ヨルシカ,202303
Life goes on,King & Prince,202303
NO GRAVITY,THE RAMPAGE from EXILE TRIBE,202303
アタシは問題作,Ado,202303
この空がトリガー,=LOVE,202303
タペストリー,Snow Man,202303
アドベンチャー,YOASOBI,202303
桜月,櫻坂46,202303
OMG,NewJeans,202302
MOONLIGHT SUNRISE,TWICE,202302
We Good,JO1,202302
VIBE (feat. Jimin of BTS),TAEYANG,202302
リンジュー・ラヴ,マカロニえんぴつ,202302
酔いどれ知らず,Kanaria,202302
ホワイトノイズ,Official髭男dism,202302
秘密のキス,back number,202302
Purple Sky,NOA,202302
ギターと孤独と蒼い惑星,結束バンド,202302
ビリミリオン,優里,202302
SHOOTING STAR,XG,202302
星座になれたら,結束バンド,202302
まぶた,Vaundy,202302
馬鹿ばっか,THE SUPER FRUIT,202301
Swing Swing Paradise,モーニング娘。'22,202301
"トウキョウ・シャンディ・ランデヴ feat. 花譜, ツミキ",MAISONdes,202301
第ゼロ感,10-FEET,202301
クリスマスイブ,優里,202301
Ditto,NewJeans,202301
Candy,NCT DREAM,202301
DOGLAND,PEOPLE 1,202301
ここにはないもの,乃木坂46,202301
綺羅キラー (feat. Mori Calliope),ずっと真夜中でいいのに。,202301
メリーゴーランド,優里,202301
バイオレンス,女王蜂,202301
想花,Kis-My-Ft2,202301
ZUTTO,BiSH,202301
超FINE!!!,BOYS AND MEN,202301
NEW WORLD,超特急,202301
First Love,宇多田ヒカル,202301
可愛くてごめん (feat. かぴ),HoneyWorks,202212
はにかみショート,≠ME,202212
HELLO,TREASURE,202212
Stardom,King Gnu,202212
愛傷,GENERATIONS from EXILE TRIBE,202212
一斉ノ喝采,LiSA,202212
私は最強,Mrs.GREEN APPLE,202212
全部賭けてGO!!,Juice=Juice,202212
海のまにまに,YOASOBI,202212
JUMP,幾田りら,202212
カナタハルカ,RADWIMPS,202212
Blue Moon,NiziU,202212
忘れ物,Vaundy,202212
ちゅ、多様性。,ano,202212
なぎさホテル,桑田佳祐,202212
ツキヨミ,King & Prince,202212
錠剤,TOOBOE,202212
Dreamers,Jung Kook,202212
紋白蝶 feat.石原慎也 (Saucy Dog),東京スカパラダイスオーケストラ,202212
Under the skin,&TEAM,202212
ハッピーサプライズ,なにわ男子,202212
POPPY,STAYC,202212
久しぶりのリップグロス,AKB48,202212
grace,藤井風,202211
CHAINSAW BLOOD,Vaundy,202211
祝福,YOASOBI,202211
スターマイン,Da-iCE,202211
JUST DANCE!,Travis Japan,202211
君の花になる,8LOOM,202211
月と星が踊るMidnight,日向坂46,202211
HERO,INI,202211
Come Again,8LOOM,202211
Nxde,(G)I-DLE,202211
色彩,yama,202211
KICK BACK,米津玄師,202211
すずめ (feat. 十明),RADWIMPS,202211
ツナゲキズナ,THE RAMPAGE from EXILE TRIBE,202211
ANTIFRAGILE,LE SSERAFIM,202211
The Astronaut,JIN,202211
アイラブユー,back number,202211
Subtitle,Official髭男dism,202211
悲しみよとまれ,BiSH,202211
JUST DANCE! (Yaffle Remix),Travis Japan,202211
宇宙ドライブ,超特急,202211
LIMITLESS,純情のアフィリア,202211
絶対インスピレーション,SKE48,202211
紫苑,Saucy Dog,202211
Soranji,Mrs.GREEN APPLE,202211
刃渡り2億センチ,マキシマム ザ ホルモン,202211
残機,ずっと真夜中でいいのに。,202211
SOUVENIR,BUMP OF CHICKEN,202211
アンチ・ヒーロー,テイラー・スウィフト,202211
Future Perfect (Pass the MIC),ENHYPEN,202211
JUST DANCE! (tofubeats Remix),Travis Japan,202211
カオスが極まる,UNISON SQUARE GARDEN,202211
Setting Sail 〜モダンラブ・東京〜,Awesome City Club,202211
CASE 143,Stray Kids,202211
#IMA,A.B.C-Z,202211
"アイウエ feat. 美波, SAKURAmoti",MAISONdes,202211
mabataki,Vaundy,202210
SuperCali,JO1,202210
UP to ME,BiSH,202210
2 Baddies,NCT 127,202210
Shut Down,BLACKPINK,202210
ビタミンSUMMER!,Liella!,202210
ヒトツボシ,KOH+,202210
Congrats!! (with Friends),内田雄馬,202210
JUICY,Snow Man,202210
"Only One,Only You",GLAY,202210
好きだ虫,NMB48,202210
チノカテ,ヨルシカ,202210
DICE,NMIXX,202210
もう一度,Tani Yuuki,202210
Overdose,なとり,202210
TraceTrace,King & Prince,202210
ヘロー,私立恵比寿中学,202210
おにごっこ,優里,202210
Wing Wing,Kep1er,202210
リベリオン,Ado,202210
死ぬのがいいわ,藤井風,202210
Mountain Top,ELLEGARDEN,202210
君じゃない誰かの愛し方 (Ring),TOMORROW X TOGETHER,202209
花の塔,さユり,202209
Tot Musica (ウタ from ONE PIECE FILM RED),Ado,202209
ビンクスの酒 (ウタ from ONE PIECE FILM RED),Ado,202209
After LIKE,IVE,202209
BANZAI! digital trippers,Aqours feat.初音ミク,202209
3636,あいみょん,202209
Pink Venom,BLACKPINK,202209
かたち,安月名莉子,202209
ウタカタララバイ (ウタ from ONE PIECE FILM RED),Ado,202209
Power,7ORDER,202209
Goes on,チャン・グンソク,202209
風のゆくえ (ウタ from ONE PIECE FILM RED),Ado,202209
NIGHT DANCER,imase,202209
左右盲,ヨルシカ,202209
FOREVER 1,少女時代,202209
Start Over,THE BEAT GARDEN,202209
Talk that Talk,TWICE,202209
ベルベットの詩,back number,202209
好きというのはロックだぜ!,乃木坂46,202209
Two as One,Kis-My-Ft2,202209
デネブとスピカ,DIALOGUE+,202209
世界のつづき (ウタ from ONE PIECE FILM RED),Ado,202209
Summer Bike,FANTASTICS from EXILE TRIBE,202209
Scream,BE:FIRST,202209
SM:)LE,BUDDiiS,202209
Password,INI,202209
異世界混合大舞踏会 (feat. おばけ),星野源,202208
タイムマシン,優里,202208
Promise,Da-iCE,202208
恋だろ,wacci,202208
堕天,Creepy Nuts,202208
豆んJOY,豆柴の大群,202208
CLAP CLAP,NiziU,202208
オレンジkiss,Snow Man,202208
Celebrate,TWICE,202208
逆光 (ウタ from ONE PIECE FILM RED),Ado,202208
ドント・ウェイク・ミー・アップ feat. BE:FIRST,ジョナス・ブルー,202208
_WORLD,SEVENTEEN,202208
ichiban,King & Prince,202208
しわくちゃな雲を抱いて,DISH//,202208
SNEAKERS,ITZY,202208
栄光の扉,平井大,202208
走馬灯,Vaundy,202208
Girls,aespa,202208
雨燦々,King Gnu,202208
喝采,関ジャニ∞[エイト],202208
ダイヤモンドスマイル,なにわ男子,202207
ねぇ,YOAKE,202207
ALL HOURS,JO1,202207
melt bitter,さとうもか,202207
エジソン,水曜日のカンパネラ,202207
優しさに溢れた世界で,Saucy Dog,202207
Yet To Come (The Most Beautiful Moment),BTS,202207
レンズ,幾田りら,202207
眩光,WANIMA,202207
ココロオドル,nobodyknows+,202207
Run BTS,BTS,202207
Save Yourself,ONE OK ROCK,202207
わたし,SixTONES,202207
私は最強 (ウタ from ONE PIECE FILM RED),Ado,202207
CIRCUS,Stray Kids,202207
ビーサンはなぜなくなるのか?,HKT48,202207
ブルーアンビエンス (feat.asmi),Mrs.GREEN APPLE,202207
Hello Hello,風男塾,202207
LOVE'S ON FIRE,山下達郎,202207
好きだ,YOASOBI,202207
新時代 (ウタ from ONE PIECE FILM RED),Ado,202207
たましいの居場所,マカロニえんぴつ,202207
レフト・アンド・ライト (feat. Jung Kook of BTS),チャーリー・プース,202207
時代遅れのRock'n'Roll Band,"桑田佳祐 feat.佐野元春,世良公則, Char,野口五郎",202206
FEARLESS,LE SSERAFIM,202206
夢の島セレナーデ,20th Century,202206
僕なんか,日向坂46,202206
The Answer,なにわ男子,202206
M八七,米津玄師,202206
Betrayal Game,BE:FIRST,202206
元カレです,AKB48,202206
ホールド・マイ・ハンド,レディー・ガガ,202206
うぉ,優里,202206
Partner,有華,202206
ダイナマイト,Superfly,202206
ラストダンスに BYE BYE,BALLISTIK BOYZ from EXILE TRIBE,202206
PAJAMA PARTY,岩橋玄樹,202206
ハレンチ,ちゃんみな,202206
愛言葉,Tani Yuuki,202206
あの子コンプレックス,=LOVE,202206
With Us,JO1,202206
Habit,SEKAI NO OWARI,202206
Walkin' In My Lane,milet,202206
初恋が泣いている,あいみょん,202206
それを愛と呼ぶなら,Uru,202206
That That (prod. & feat. SUGA of BTS),PSY,202206
ダンスホール,Mrs.GREEN APPLE,202206
韻波句徒,CHEHON,202206
Eternal Light,DiverDiva,202206
545,原因は自分にある。,202206
HOT,SEVENTEEN,202206
ミックスナッツ,Official髭男dism,202205
We Are,INI,202205
LOVE DIVE,IVE,202205
燦燦,三浦大知,202205
クロノスタシス,BUMP OF CHICKEN,202205
Darl+ing,SEVENTEEN,202205
ASOBO,NiziU,202205
星が泳ぐ,マカロニえんぴつ,202205
kaleido proud fiesta,UNISON SQUARE GARDEN,202205
Still Life,BIGBANG,202205
五月雨よ,櫻坂46,202205
Awesome!,まねきケチャ,202205
Bubble feat.Uta,Eve,202205
YOLO-konde,JO1,202205
喜劇,星野源,202205
Lovin' you,King & Prince,202205
愛とか恋とか,Novelbright,202205
Colorful Dreams! Colorful Smiles!,虹ヶ咲学園スクールアイドル同好会,202205
陽はまた昇るから,緑黄色社会,202205
